Name,Parent,Leaflet,OpenLayers,Maplibre GL JS,Cesium JS,Description,Addendum
MySQL,Connection,4,4,4,4,The library can connect to MySQL databases,
Functionality,Database,,,,,Basic database functionality,
Using DBMS,Functionality,3,3,3,3,The library can use any DBMS for vector data,Possible with a custom IndexedDB vector type.
Query/filter,Functionality,2,2,2,2,The library is capable of querying and filtering vector data,Pretty trivial if you have a DBMS-powered vector layer (e.g. in CARTO).
Query language,Functionality,3,3,3,3,The library can use a query language to query and filter vector data,Possible with a custom IndexedDB vector type.
Data,,,,,,Data operations,
Pre-process,Data,,,,,Processing capabilities for organizing and manipulating data before display,
On the fly transformation,Pre-process,4,4,4,1,The library is capable to project vector data on the fly,OpenLayers and Leaflet must transform vector features to the map projection in order to display. Maplibre GL JS only supports Web Mercator as display projection. Cesium’s projection support is also limited.
Read attribute data,Pre-process,1,1,1,1,The library can use vector attributes,
Z coordinates,Pre-process,1,1,4,1,The library preserves Z coordinates in vectors,
M coordinates,Pre-process,1,1,4,4,The library preserves M coordinates in vectors,"Measurement coordinates are not supported and discouraged to use by modern Web vector formats, like GeoJSON. Libraries supporting M coordinates do not distinguish between XYZ  and XYM."
Geometry types,Pre-process,1,1,1,1,"The library can interpret the basic geometry types of points, lines, polygons, and their multipart counterparts",
Spatial indexing,Pre-process,2,1,1,1,The library is capable to apply a spatial index on its internal vector layers to speed up processing and display,Leaflet can use the Leaflet.LayerIndex plugin for this.
Geometry validation,Pre-process,3,3,3,3,The library can validate vector geometries and identify invalid ones,"There are geoprocessing libraries for this purpose (e.g. Turf, JSTS)."
Geometry simplification,Pre-process,1,1,1,1,The library is capable of generalizing vector geometries on the fly,
Attribute table,Pre-process,3,3,3,3,The library is capable of organizing vector attributes into an attribute table,"The organizing part is quite trivial to do manually, but for the tabular display and data manipulation an external library is recommended."
Conversion,Data,,,,,Data type conversion support,
Interpolate,Conversion,2,1,1,3,The library can interpolate vector data into a raster layer,If we consider heatmap visualization as a form of interpolation.
Raster to vector,Conversion,4,4,4,4,The library can vectorize raster data,
Vector to raster,Conversion,4,4,4,4,The library can rasterize vector data,
Manipulation,Data,,,,,Capabilities for raw vector data and layer management,
Update attribute data,Manipulation,1,1,2,1,The library can write attribute data of vector layers on the fly,"In Maplibre GL JS, you have to manually keep track of the GeoJSON data and set it again after any change on the source."
Update geometry,Manipulation,2,1,2,1,The library can update geometries of vector layers on the fly,Leaflet can use the official Leaflet.Editable plugin for this. In Maplibre GL JS you have to reset the GeoJSON data source after each edit.
Field calculator,Manipulation,2,1,1,2,The library has an abstract mechanism for calculating attributes,Maplibre GL JS and OpenLayers have data-driven styling.
Add/remove layer,Manipulation,1,1,1,1,The library can add and remove layers,
Change layer order,Manipulation,4,1,1,4,The library is capable of changing the visual order of layers,"Leaflet and Cesium cannot render vectors below image layers, although they can order layers of those two types relative to other layers in the same type. In Maplibre GL JS, the base map usually consists of many layers."
Typed layers,Manipulation,1,1,1,1,The library has a type system for its layers,"Maplibre GL JS uses enums, the other libraries use classes and inheritance. Cesium calls its vector layers data sources."
Analysis,Data,,,,,Complex data manipulation capabilities,
Basic geoprocessing,Analysis,3,3,3,3,"The library can do basic vector operations (clip, dissolve, buffer, union, difference)","There are geoprocessing libraries for this purpose (e.g. Turf, JSTS)."
Topological analysis,Analysis,3,3,3,3,"The library can do vector operations based on topology (intersect, touch, within, cross)","There are geoprocessing libraries for this purpose (e.g. Turf, JSTS)."
Modify image,Analysis,3,2,3,3,The library is capable to transform image data,
Modify raster,Analysis,4,4,4,4,The library is capable to transform raster data,
Raster algebra,Analysis,4,1,4,4,The library is capable of executing matrix operations between multiple raster layers,
Classification,Analysis,4,1,4,4,The library can reclassify raster layers,
Convolution,Analysis,4,1,4,4,The library can transform rasters with a convolution matrix (moving window),It is quite hard to formulate even 3x3 kernel operations with style expressions in OpenLayers.
Write WPS request,Analysis,3,3,3,3,The library is capable of requesting spatial operations through a WPS connection,
Projection,,,,,,Projection handling,
Transform vector,Projection,1,1,4,4,The library can transform geometries between known projections,"Maplibre GL JS can convert between WGS84 and Web Mercator internally, but does not expose related functionality and does not support other projections. Cesium only supports WGS84 for vectors."
Warp raster,Projection,4,1,4,1,The library can transform raster and image layers between known projections,"OpenLayers cannot yet warp GeoTIFF rasters, but it can warp any image layer. Cesium’s support only covers Web Mercator image tiles."
Well-known projections,Projection,1,1,4,1,The library can use WGS84 (EPSG:4326) and Web Mercator (EPSG:3857) projections,"Maplibre GL JS can currently only use Web Mercator, but supporting multiple projections is under consideration by the development team."
Custom projections,Projection,2,2,4,4,The library can use well-defined custom projections,The Proj4JS library is required in every case.
Interaction,,,,,,GUI capabilities,
Draw features,Interaction,2,1,2,2,Users can digitize vector features in this library,
Modify features,Interaction,2,1,2,2,Users can modify features with a mouse-based tool in this library,
Snap points,Interaction,2,1,2,3,The library is capable of snapping vertices,
Modify view,Interaction,1,1,1,1,The library is capable to change its view settings (e.g. projection) on the fly,
Select features,Interaction,2,1,2,1,Users can select features with a mouse-based tool in this library,
Query features,Interaction,3,3,3,3,Users can query features using the GUI in this library,
Query raster,Interaction,4,1,4,4,Users can query raster values with a mouse-based tool in this library,
Measure,Interaction,2,1,2,2,Users can measure lengths and areas with a mouse-based tool in this library,
Change time,Interaction,3,3,3,1,The library offers temporal controls to users,MapLibre GL JS can use plugin maplibre-gl-temporal-control for this.
Mouse coordinates,Interaction,2,1,2,2,The library can display mouse coordinates,
Representation,,,,,,Thematic data visualization capabilities,
Styling,Representation,,,,,Features required for creating thematic map content,
Style vector,Styling,1,1,1,1,The library is capable of applying different styles to vector elements,
Style raster,Styling,4,1,4,4,The library is capable of applying different styles to raster layers,
Thematic maps,Styling,1,1,1,1,The library can change its applied styles dynamically,
Cartographic elements,Representation,,,,,Features required for creating a map,
Scale bar,Cartographic elements,1,1,1,3,The library can display a scale bar,
North arrow,Cartographic elements,2,1,2,2,The library can display a North arrow,
Legend,Cartographic elements,3,3,3,3,The library can display a legend for its layers,"Some libraries have layer switcher plugins, but creating a full-fledged legend with styles, categories and labels is always a challenge."
Graticule,Cartographic elements,2,1,2,2,The library can display a graticule over the map,
Text box,Cartographic elements,1,1,2,1,The library can display overlays,
Overview map,Cartographic elements,2,1,3,3,The library can display an inset map for making orientation and navigation easier,"You can always create and synchronize a second map instance, if everything else fails."
